Date,annual_return
2001,0.37469782989065625
2002,-0.09535825753210503
2003,0.29186525016731046
2004,0.10510535040650337
2005,0.5396129357854853
2006,0.03993849802107108
2007,0.32253953163177296
2008,-0.4072783795475394
2009,0.49650062996259736
2010,0.2188237110210245
2011,-0.109829356297233
2012,0.0938304794275544
2013,0.007155512702635036
2014,-0.04760508000990715
2015,0.023867369107803293
2016,0.03321754357924522
2017,0.21763569860656973
2018,-0.17282742903097592
2019,0.07674023038001931
